text,sentiment
aws shebuilds we ve got some pretty cool merch  ,4
great news  cmx is listed on the online platform  the company will gradually give out cmx s link to the members  please wait patiently  ,4
i love a wednesday  get the afternoon off don t i  ,4
lets pretend dis ur great gma as a flapper in d  s  ,4
imoh winning  you love to see it,4
so close to the perfect lede  should read  from being resigned to formulae to re signed by red bull  ,4
one thing about me i m good at leaving mfs alone  ,4
much better than the original,4
taehyungie bought a lot  and he bought the whole set of plush dolls  ,4
christmas shopping list for us  new  refrigerator  which we don t really need  and my husband is switching out of the apple ecosystem  i think he s finally ready  ,4
good morning  ,4
retweet and like if you want to gain more followers  ,4
ok ma am  what would you like to have in lunch  ,4
thank you so much,4
life is good  but my hair needs to grow back faster,4
only old sunshiners know this song  snsd sunny #  #  ,4
robert a  heinlein  i never learned from a  more free quotes  quoteoftheday inspiration motivation ,4
i always make sure to thank god for the women in this realm  every single one of them  but then you see queens like this  amp  it s just like  you gotta emphasize that gratitude  ,4
good morning  happywednesday wednesdaywisdom,4
update  the bitch only said hi lmfaoo wait til he finds out i m the new manager  i m a true scorpio  winning in silence,4
which team will win a game of  team  or  team  ,4
thanks rick  you re awesome  ,4
woke up with a smile today because i had such a great stream last night and it makes me happy  ,4
a positive attitude might not solve the problem  but it will piss off enough people to make it worth the effort  ,4
guess it s time to share my favourite tiktok videos of the month  first off  this baby s reaction is bae  ,4
and we are proud of you sunshine,4
wedding day confession  hubby  my dear  i slept with many prostitutes  wife  l said it  your face looks familiar  hubby watin you go do  ,4
when lily goes for a ride  you know something exciting is going to happen  ,4
she trust me goin raw cause i have an innocent face  ,4
taehyungie  really  are you going to have a ga or something  just kidding love  but i m sure  of those would go to wooga squad  ,4
good morning warmley our realbread of the day today is our wholemeal mixed starter  bristol bakery fresh handmade supportlocal ,4
most of the phone models are available so you can just drop ur phone model so i can check the availability  ,4
love this video  the music is amazing  wwg wga,4
so mf fine,4
does anyone have flu ride potions i could buy for amc  ngf unless ur more trusted then myself  name ur price but be fair  i ll pay up to  k for ride and  k for fly adoptmetrades,4
lmao i know god got me  we stay giggy,4
the downtime is starting in less than  hours  i hope we ll get some cool new br leaks this time  swazyfam,4
just a friendly reminder graves makes great music have a great night  ,4
interesting ,4
she prolly give the best head  ,4
i really want to try this one  what energy do i radiate  social  popular  lots of friends  bright colours  soft  sweet  cigarettes  alcohol  sex  intimidating  clown  crackhead  zonkies ,4
this makes me so happy  ,4
morning you wonderful bunch  happy hump day  approaching the weekend now  have a great day everybody  ,4
when i say i can help you earn  in the next  weeks i m not joking  i did it myself when i first started in this business so i can show you how to do the same  free to join  nothing to pay  all you need to do is be willing to learn  get in touch for more detail ,4
brilliant  i journeyed through the world of hisdarkmaterials and discovered my daemon is a wildcat  you can find out what your daemon is too by clicking below  ,4
  billion in  years spent on oxford street to facilitate crossrail s eventual opening  amp  surprise surprise it s gonna be all geared to encourage the use of public transport to enjoy  new experiences  no e w traffic through oxford circus which will now be a piazza  ,4
it s fanta bulously fun when you re friendly  if you agree  worldkindnessday ,4
i don t go to dentist  don t like em  not saying this for  just why i need prayer  insurance paid and i still had to charge  that is just sad  front ones good thank the lord  can t see the back if i don t smile  god is awesome  he can heal the jaw and fix the gap  ,4
  brilliant ,4
in black  i feel special  blackgirlmagic melaninpoppin girlsquad beautiful slayallday dancedance #  designers #  artists femalesingers #  vibes #  showbiz nomakeup beautifulgirls slays  ,4
babe jimboy  ur  looks good on me  i know  aqa nani  ,4
my all time fave disney couple  mulan shang reunited dolls collectibles love ,4
  you re welcome  still believing in that old lie  is she  he c a u g h t the bastard  uther  uther is still the liar  if she doesn t believe him  why doesn t she ask him who her r e a l father is ,4
wake up so early  no no  sleep a few more hours  be back later  ,4
i know you think you re being funny but think about how the chinese may find this offensive,4
if this doesn t make you laugh nothing will ,4
the store runners at that baby you is the pleasant have several seats  i want the big dog  ,4
enjoying a game of football  love it  ,4
good morning  ,4
asahi the consistent artist  he did the same decoration on chuseok  ,4
thanks  ,4
every club at a decent level will have the same sort of sheet only the amounts are different and some of the fines  no flip flops  ,4
louis is me whenever i successfully annoy the sh t out of most hated teachers  ,4
guess who called me today  free slim jim out that back nah,4
i can t wait to get my nails done thursday  this girl really a beast  it s been  weeks and i haven t broke one yet  ,4
these the only type of niggas that show me real love,4
these look fun  ,4
i could really be the perfect girlfriend no cap  ,4
might be something here but number of confounders strikes me as huge  also  what difference does it make to my clinic  not sure telling osteoporosis patients to spend more time in bed is the way forward  ,4
moornijg let s enjoy the day  ,4
lmao  una go get sense by force  you guys had the opportunity to bond and stop this  you guys were speaking english and being  logical  this thing is so funny  ,4
i just made a bunch of new tweets on the ol page lol  make sure to vote on the pinned poll though  ,4
  tune in now everyone  dj spanish fly vol  is starting  ,4
i m absolutely shattered but it was a brilliant evening at picturebookclub  i m still processing everything to blog later  ,4
love this story on so many levels  when you think of rock stars on tour  you think of rooms being trashed and sleeping with supermodels  not hiring rooms out so you can use them to make railway models  ,4
before you come at me  make sure you actually know what you re talking about first  ,4
give me those notifications with pleasure and remember to add reviews from those they smash  my academy gotta make me proud  ,4
only  more months  amp  my life is going to change drastically  ,4
i tweeted the other day that i was listening to loud luxury and now it s on colby s playlist  coincidence  i like to believe he saw it and added it to his playlist  cause i ve got good taste  ,4
a couple of great insightful soccer lads on that list  ,4
very much excited and looking forward to attending the stanford human brain organogenesis workshop  shbow  ,4
very very impressed  can anyone tell his name  great art  unbelievable  unimaginable  the only bizarre thing is it is broadcast by bbc hindi  ,4
lmao yedam said  read this quickly and continue studying  as expected from the diligent student  ,4
finally get to meet a counselor for the major i wanna transfer to and take the first step into transferring my major and im super super excited  ,4
  i love nigerians,4
now i understand that rich people don t have good hairline  so i m gonna have to start flaunting mine ,4
erm but how do you get out if the roof has fallen in on top of it  ,4
goodmorning goodday coffee coffeebreak makeitagoodday tuesdaymorning tuesdaythoughts  may your day be happy  ,4
good ebening third force activist  ,4
  morning  happy wednesday everyone  we re nearly over the hump of the week  sending you all positivevibes positivity  wednesdaymorning humpday wednesdaymotivation,4
  lucky drillers walked into  it sounds like the first line of a joke but sadly no  with both the rain and temperature falling outside lee  amp  dave have landed on their feet and found a job inside  enjoy it whilst it lasts lads  drilling lovedrilling ,4
i ve literally been wanting to watch so many of the old disney original movies and shows and now i can because of disney plus  ,4
i can get up  showered  dressed and packed ready to leave in  mins so  ,4
office goals  only missing a nice computer  workspace ,4
i loove this weather  today is gonna be a good day  ,4
kiss good morning world  i am watching the day alight as i get ready for a jump into the yoga mat  have a terrific day too  ,4
always nice to see you dress up as a beautiful princess penny  gorgeous ,4
crush  hajuuii  u are clearly mis informed  ,4
being intentional with your time is the first step in a productive day  ,4
hi all  i am new here  just joined this morning  look out for exciting new products of merchcandise coming on page today  mfam  ,4
my day is a bit tiring but fine  how about you  ,4
very festive,4
thought for the day  even if you are on the right track you will get run over if you stand still  ,4
we have way too much fun sometimes  ,4
omigosh these are getting creative ,4
i love my new doormat so much  i just wanna wake up jesse so he can see it  ,4
happy  ,4
spreading the love of the ampersand with yvrdms  cackling cactus curiosities  and the nwss gaming club  can anyone spot my goblin assistant  ,4
yes  god of war really should have been an  ,4
happy worldkindessday  hopefully everyone has a good day,4
today  it actually cost me  k  personal best  ,4
they gave me  straight  i am  aro so i don t really know  but straight ig  they gave me  i am  they gave me  single i am  single  they gave me  i am  send me a cute  jae picture and i ll do one for you  ,4
have a safe  amp  great day  fam  or good night  amp  sweet dreams  fam  time to listen to exo s  she s dreaming  on repeat until i fall asleep  i loovvee this song so much  it s so beautiful  soothing  amp  relaxing  ,4
we had our first  snow yesterday  ,4
let s get my wednesday going  flat out all day today  shopping  fracture clinic and parents evening at school too  the joys of rural living and it s lashed with rain all night too so the roads are flooded  chin up  smile on  ,4
happy birthday milkyboy  ,4
let s see how many true gamers are there in the community  does anyone know the correct answer  gamesgully oggameoftheweek og games maxpayne maxpayne  maxpayne  maxpayne  gamersquiz quiz quizgame ,4
bruh free cable and wifi  ,4
let s get my wednesday going  flat out all day today  shopping  fracture clinic and parents evening at school too  the joys of rural living and it s lashed with rain all night so the roads are flooded  chin up  smile on  ,4
have a nice day  humor kindergarten ,4
mstuds finally conquering russia  balley dancers top priority  ,4
lol yedam  read this quickly and continue studying  as expected from the diligent student  thank you for translating  ,4
i had to write nearly  words today to catch up to target  but i passed  words on the nano wip this evening  ,4
jungkook and taehyung bought the whole set of mini figures and plush toys  ,4
hi  tweeps  it s  a m  and it s coffee  my wip  and you  i didn t really have much time to write this evening  so i hope to make up for that now  turtlewriters writingcommunity amwriting horror,4
hmvlovestakethat  please choose me  hardly ever win anything,4
love a qos,4
crazy fucking night at hat  lost to a good robin named rubk in winners  then went through dubbaewe  joeker  fujin and kyros so i could sd  times in losers quarters on stream vs ohgi  got  th going  best part is i wasn t gonna go tonight cuz i was tired earlier lol  ,4
selfie first  bagetsph alterph altermanila ,4
are you putting yourself around people that make you unhappy  make a change  happiness positive change success ,4
love this one here  ,4
am showers today  with a high of  c and a low of  c  enjoy  ,4
happy world kindness day  go out of your way today to smile more or tell your bestie that you appreciate them  ,4
spent a few hours drawing more accurate and appropriately sized manta rays now that i m happy with the tonal study  next step is to transfer these to some nice  clean white bristol board and get dotting  ,4
i ll also be holding a meet and greet to my loyal followers i ll keep you guys updated with more details  ,4
did i hear  sure love  from samson or do i need to visit an ent specialist ,4
was a beautiful race ott pen y fan ultra didn t see the photographer he managed to find the only flat bit  offthetarmac penyfan trails beautiful ,4
early morning swim  ,4
make sure any women s teams sign a fantastic player who we had the pleasure of interviewing  ,4
thursday  everyone have their own timeline  finally  i am graduated  i wanted to post a long message about my journey in college life but i can t  but  i just wanna say  ,4
its so awesome that everyone i know is so happy  ,4
hey harold my assistant is back tomorrow so feel free to drop dates now  ,4
if you ask me how many times you came in my mind  i will say once  because you came and didn t leave me  ,4
ai weiwei  police in china can do  more free quotes  quoteoftheday inspiration motivation ,4
happy birthday anna hathaway  fav movie list from anne  interstellar  dark knight rises  love and other drugs  alice in wonderland ,4
  pages of first chapter and the word profound is used  times  ,4
  tune in now everyone  dj spanish fly vol  is starting  ,4
good morning my twitter children  xx  it appears there is a god after all  ,4
annikas picture of jack as a human  so awesome  ,4
new decade fresh start  newyear #  ,4
  so cute  ,4
best math tutor for home tuition in east of kailash  delhi  call now  since  result oriented  affordable fee  eastofkailash newdelhi southdelhi delhitimes greaterkailash newfriendscolony  ,4
best youtuber and gamer king tmartn,4
welp it s  am better shower instead of getting the much needed sleep i haven t been getting at all  ,4
good morning from jacarandacity  the beauty of joburg streets in spring  my photo doesn t do it justice  when their petals fall they paint the streets in a purple haze  oh for this to be the aisle on my wedding day  if that day should come  ,4
my first ever  flight for wingviewwednesday this week  can t wait to share the review with you all on flightreviewfriday  ,4
good morning  earlybiz lots of lemon board orders to make today  and i m still able to personalise them for a limited time  gifts giftideas uksmallbiz handmade ,4
one of kristen s interview kind of spoiled the twist for me  thankfully i don t care about spoilers  ,4
we are proud of them ,4
be kind  it ll do you good  happy world kindness day  worldkindnessday  worldkindnessday  ,4
esomar fusion day  here we go  today we bring the human element of research to the forefront as we welcome delegates to the start of the qualitative insights  are you as excited as we are  follow along on esomar tv  for all the action  insights mrx qual ,4
market is only great we are doing our work  and the way he traded explained in group  this is what you learn trade with plan  a good trade properly executed  other member also benefits  recently joined in kolkata ,4
most of you can t answer this simple question  who are you  until you know who you really are you can never appreciate your well being and potentials  ,4
  win  a msc cruise  or your share of r  in vouchers  with hyperli  zando  jumia  amp  faithful to nature  ,4
slept well  awesome night  ,4
somewhere there s someone who dreams of your smile  and finds in your presence that life is worthwhile so when you are lonely remember its true somebody somewhere is thinking of you ,4
the last batch of this exam focused bootcamp is starting  th of november  limited slots available  hurry and secure yours  it s running in abuja and lagos  tag someone who might need it  mdcn nigeria fortmed,4
pe challenge  week  hosted by mr tedbridge  this weeks challenge is  squats  how many can you do in a minute  burntoearn trinitysport,4
hey guys  need a shape up  we might look all girly but we re male friendly too  men are welcome here  ,4
another wednesday  another weigh in  down  kg since last week  leaving a mere  kg to go until goal weight and reaching the point where i m comfortable wearing a man kini in public again  i m pleased  weightlossjourney saffabear gettingthere,4
morning everyone hope you all have a good day  ,4
wish me luck for first day  ,4
oh man  too cute  ,4
america gave you freedom  so you tell us  yet you can t extend the courtesy of calling him president trump  democratically elected  not your best post sarah ,4
aaw  this humorous guy  ,4
lovely day  ,4
ladies are like ice creams  they need more power to freeze but they melt very easily  wanawake ni sawa na ice cream  huhitaji nguvu kubwa kuganda lakini  huyayuka mara moja  ,4
that s right all by deception remember he was a mossad agent one of their top guys so do you think they re really going to let him die or kill him are you dreaming have u lost your mind this guy s important  them but this new buyer looks just like epstein rv  mt  ,4
pussy cocaine syrup and pounds of weed  classic  rip sweet jones  ,4
time to turn off your notification  be happy  ,4
it s usually not yours  it s only your turn  an understanding of this simple princinple will lead to a better life  ,4
interesting how the government in power for the  and half years or whatever it is since the referendum are really pressing their tag line of being the only ones who can  get b  done  ,4
haha have you not got a spare room in you mansion for we nicky  ,4
it s easy to drop somebody from your life  gravity does all the work  ,4
i ve got some fun  one time only  earrings for y all  i had a couple turquoise pairs  but they all got grabbed before i had a chance to post  there s only one pair of each  so they ll be totally unique  might  ,4
  win  a msc cruise  or your share of r  in vouchers  with hyperli  zando  jumia  amp  faithful to nature  ,4
  songs down for my next orbita ep release  i feel like this is some of my best music yet  can t wait to show everyone  now to just balance  work  gym  family  stream  mixing  mastering  and writing  let the energy drinks flow and i ll sleep next year ,4
it s worth it,4
happy birthday  ,4
lemme enjoy my sweat  ,4
viswasam vs bigileyy comparison  thala has no social media accounts to promote his movies  but vijay has other ideas  bigil had emoji advantage  where viswasam doesn t had that  still viswasam is the top influence  truth only truimphs  viswasamtopsinfluentialmoment,4
and i m still on my happy high  going on  weeks  ,4
a fantastic approach to community heritage engagement  ,4
i am filming again in a week if all goes to plan  there will be new content coming  no needles this time  ,4
til a new term  conversationalnarcissism  sociologist charles derber describes the subtle  amp  unconscious tendency to take over a conversation  to do most of the talking  to turn the focus of the exchange to yourself as conversationalnarcissism  is it an occupational hazard ,4
this guy s reaction  love seeing first timers react to his voice  ,4
the trickery  amp  thuggery  i just asked to differentiate  between foreign policy expertise of the world s largest democracy  and  the script from commando comic  my friends suggested me  it is just a part i of episode #  ,4
good night bebuss  i ll try to be more active its just that im obsessed with many games  ,4
the mandalorian soundtrack is now available to stream  ,4
 buenos d as desde cursosinternacionalesusal  de noviembre  felizmi rcoles  #  a osciusal good morning from the universityofsalamanca  happy wednesday  ,4
these make a fabulous gift  whereyoushopmatters shopsmall shoplocal greenchristmas makersgonnamake makerssupportingmakers,4
good morning  a little help for anyone struggling with picking a color  here s a chart and what each color represents  don t agree  tell us what your favorite color means to you  ,4
hi there  our idiom of the day is  show true colors  which means  to show your real character or personality  english idioms showtruecolors ,4
having fun building tacos  ,4
i m so proud  ,4
letztes trainingslied  sex bomb  tom jones  you can give me more and more counting up the score you can turn me upside down inside out you can make me feel the real deal  i can give it to you any time because you re mine  der mann  der f r die queen sang und flirtete  ,4
hope everyone is well  just went live so come check me out  ,4
lol  let s pretend you didn t just steal someone s tweets from the comments section to air your ignorant view  ,4
when you think you have sold enough  sell that little bit more  ,4
recipe for a good time  old friends  good spot  good music  nkwan ne aponkye nam kakra  club beer kakra d  d w  gye w ani o  na club sika nt  v  oneghanaoneclub please drink responsibly ,4
today is definitely hump day  just bleh  hopefully the time goes quick so i can get home and wrap up warm again  i hope you all have a good and toasty day though either way  ,4
  but if she doesn t like  it s easy  don t look  because here s my sincere and considered reaction to the fake blonde s  feelings  ,4
really looking forward to it  bookshow  ,4
#  hello yujin i hope you re eating well  sleeping well and doing fine  you re a strong girl  i miss you soo much  ,4
the paint skills are too high  ,4
i ve felt much better since sunday  slept great and i m feelin alive again  thank fuck  ,4
don t worry too much you still look better that this cute creature  ,4
brooding  immortality  self esteem  guess i m ok ,4
heathermakes will be at omagh integrated primary school fir the friends club christmas fair  i will be taking order for memory items  come along and have a look  omagh integrated primary school  ,4
brb  gotta be nice and reply to dms if i want my dick to be suck  right  ,4
never underestimate the power of sex  boys undress girls in  seconds who used  hours to dress up  girls pull boys who used to weigh  kg and above to the bed with one finger  what a magic  ,4
perth wore those coats on his special days tempt debut show case and today  ,4
hope she s one of them rich people that s on the list to be heavily taxed in the event of a possible liebour win  ,4
  win  a msc cruise  or your share of r  in vouchers  with hyperli  zando  jumia  amp  faithful to nature  ,4
live from nano k ghr too  ,4
great to see it operating  ,4
good morning  please all show an act of kindness today  make someone feel good  kindnessday wednesdaywisdom ,4
our baby  i am happy  ,4
i just want to hang around fine guys who like to take their shirts off  ,4
we re back  and a very good morning from the hookers office not too shabby a one  we have the crew making us coffee  what a well trained bunch they are  ,4
me and my sensitive eyes struggling to take sun kissed picture  ,4
  tune in now everyone  dj spanish fly vol  is starting  ,4
did you know we ve got  boutique b amp b rooms  as well as  apartments capable of sleeping  amp  ideal for a break away in the quaint countryside of norfolk  close to the historic norwich city centre  take a look  norfolk norwich kingsheadbawburgh ,4
  win  a msc cruise  or your share of r  in vouchers  with hyperli  zando  jumia  amp  faithful to nature  ,4
and all diss at each other s parts  hahahaha  that s super junior s brand  analogtrip ,4
bm pupils this relates exactly where we are with technology  automation in operations and the impact  have a read and add to your ebook  ,4
download the topaztaxi app for safe and convenient rides  or download the topazdriver app to earn more income behind your wheel at your own convenience  both apps are available on google play store or apple app  ,4
  minutes to go before the european opening bell  how will the dax cac  ftse  do today  we are live from the trading floor in the heart of london at  let s make a lot of fast money  folks  good luck and trade safe  ,4
lol you are welcome  ,4
epic ,4
lionel messi  the day you think there  more free quotes  quoteoftheday inspiration motivation ,4
remember how i said i d love to move to australia  ,4
  win  a msc cruise  or your share of r  in vouchers  with hyperli  zando  jumia  amp  faithful to nature  ,4
thanks for the mention and emojis  clapyourhands  encore  ,4
then be anti nationalist is better  ,4
good  but best wait for some dry weather ,4
too funny  ,4
arrived at work to find this at the door  what a kind and caring gesture  ,4
dragged my ass out running this morning  so pleased that i did it  i ve got my boss s hen do next weekend and i want to be looking my best  ,4
the temptation to draw after  minutes on instagram is too much  ahaan  i ve given in  this weekend  ,4
is dis kind of a joke  ,4
last wkeend was super sunny  ,4
you ever think  omg  i think our babies would be oh so cute  and then you remember you don t want no babies  ,4
happy wife happy life  u want to be happy lmk  according to my belief thats what you deserve and i trust no other but the prime on such task  think its funny ok  you dont know me  oh shit am right  she dont  but theres a start to everything  ask me anything i wont lie  ,4
and guess what  you can also sponsor one or more young people to get there  slide into the dms for more info  ,4
work was pretty busy for a tuesday night  my manager did buy everyone starbucks  my lead who i was covering for while she was on vacation  brought me back a tall shot glass from mexico  ,4
most likely  ,4
  don t we just love him teamnami #  ,4
pinterest is full of inspirastion  ,4
ohh man  i love kids these days  ,4
feeling the encore love  lovelacons,4
not just your people will find clickshare easy to work with  your whole it system will too  standalone  hybrid or networked  clickshare supports any infrastructure configuration  #  reasonswhy customers love us  ,4
good morning everybody  i woke to some set of people thinking people like them  and they re gloating about it  the narcissism  ,4
salam everyone let s welcome me after long time come back to twitter  lar bar  wa pakhton  ,4
they are so cute  ,4
wow  eh  and here am i thinking that rotherham would shut up shop for the draw they needed  the defeat away at donny did for us  but this game s made a couple of quid  boosted confidence and not a bad crowd all things considered  good work lads  bring on the fa cup  ,4
happy  days mays  proud to be may  drop something dong dek hari ini  parkjihoon #  ,4
it s not a new concept but it s an innovative change nonetheless ,4
water in the desert is a good climate change maybe now something will grow there  just need good soil  and your ready  to grow medical cannibis  ,4
true  gt  once you conquer yourself it s kinda easy  russ,4
skincare tip  don t forget to treat your eyes  the eye area is one of the  st to show signs of ageing  don t leave this important step out add an eye cream to your skincareroutine  beauty anyiageing eyecream moisturiser skinroutine,4
happy world kindness day  i don t think there s anything more important in the world than being kind  worldkindnessday  bekind kindness priceless happiness care mindful love compassion mazetuition ,4
  more dayss  ,4
lockscreen thread  drop a better lockscreen  original gadget only  ,4
we re excited about a little something new  stay tuned  ,4
very creative conditional formatting  ,4
welcome back  ,4
i just realized i have  weeks left of school before holidays start and it s made me really happy  ,4
salam everyone let s welcome me after long time come back to twitter company  lar bar  wa pakhton  ,4
skincare tip  don t forget to treat your eyes  the eye area is one of the  st to show signs of ageing  don t leave this important step out add an eye cream to your skincareroutine  beauty antiageing eyecream moisturiser skinroutine,4
congratulations  until we meet again  top  uwmaseires,4
yeah really i won t show anyone no worries  ,4
im gonna die one day and im very content w that  ,4
i m sure it ll work out  or not  that s pretty much what i think about my life  either way  meh  ,4
too much space  ,4
very humbled  back to pavilion to interact with an awesome crowd  thank you professor for the wonder opportunity  ,4
always amusing to me how my maternal folks always ask if i m in contact with my parents  or of pops is in contact with me  weird question to answer on calls  me wey my pops be by closest g  calls me chairman and still sends me money sometimes  ,4
